hall,date,date_dt,dd,month,year_month,day_of_week,weekday_nth,is_weekend,is_x_day,dd_bucket,n_machine_days,n_machines,total_games,total_diff,avg_diff_per_machine,avg_games_per_machine,plus_rate,budget_index,budget_regime
みとや,20250115,2025-01-15,15,1,202501,水,Wed3,0,0,15-21,237,237,612527,-34568,-145.85654008438817,2584.5021097046415,0.3670886075949367,-5.643506327068031,under_budget
みとや,20250116,2025-01-16,16,1,202501,木,Thu3,0,0,15-21,236,236,583614,-30853,-130.73305084745763,2472.9406779661017,0.326271186440678,-5.286542132299774,under_budget
みとや,20250117,2025-01-17,17,1,202501,金,Fri3,0,1,15-21,259,259,959974,232,0.8957528957528957,3706.4633204633205,0.37065637065637064,0.02416732119828245,balanced
みとや,20250118,2025-01-18,18,1,202501,土,Sat3,1,0,15-21,263,263,1071962,-7708,-29.307984790874524,4075.9011406844106,0.40304182509505704,-0.7190553396482338,balanced
みとや,20250119,2025-01-19,19,1,202501,日,Sun3,1,0,15-21,263,263,1050342,-26521,-100.8403041825095,3993.6958174904944,0.40304182509505704,-2.524987099439992,under_budget
みとや,20250120,2025-01-20,20,1,202501,月,Mon3,0,0,15-21,251,251,760153,-31032,-123.63346613545816,3028.4980079681277,0.33067729083665337,-4.082336056030825,under_budget
みとや,20250121,2025-01-21,21,1,202501,火,Tue3,0,0,15-21,236,236,731148,-8167,-34.605932203389834,3098.084745762712,0.3686440677966102,-1.1170105095001286,under_budget
みとや,20250122,2025-01-22,22,1,202501,水,Wed4,0,0,22-28,239,239,651403,-14370,-60.1255230125523,2725.5355648535565,0.3305439330543933,-2.206007648107239,under_budget
みとや,20250123,2025-01-23,23,1,202501,木,Thu4,0,0,22-28,234,234,585159,-21131,-90.30341880341881,2500.6794871794873,0.3333333333333333,-3.6111552586561944,under_budget
みとや,20250124,2025-01-24,24,1,202501,金,Fri4,0,1,22-28,265,265,1238165,18576,70.09811320754717,4672.320754716981,0.4,1.5002846954969653,over_budget
みとや,20250125,2025-01-25,25,1,202501,土,Sat4,1,0,22-28,264,264,1146635,22130,83.82575757575758,4343.314393939394,0.42803030303030304,1.9299951597500513,over_budget
みとや,20250126,2025-01-26,26,1,202501,日,Sun4,1,0,22-28,263,263,1032124,24368,92.65399239543726,3924.425855513308,0.3688212927756654,2.3609566292422226,over_budget
みとや,20250127,2025-01-27,27,1,202501,月,Mon4,0,1,22-28,261,261,986831,20088,76.96551724137932,3780.9616858237546,0.37547892720306514,2.0356069073630643,over_budget
みとや,20250128,2025-01-28,28,1,202501,火,Tue4,0,0,22-28,250,250,658601,-16824,-67.296,2634.404,0.352,-2.554505687054833,under_budget
みとや,20250129,2025-01-29,29,1,202501,水,Wed5,0,0,29-31,251,251,762027,-41030,-163.46613545816734,3035.964143426295,0.32270916334661354,-5.38432365257399,under_budget
みとや,20250130,2025-01-30,30,1,202501,木,Thu5,0,0,29-31,259,259,1019294,8581,33.13127413127413,3935.4980694980695,0.3590733590733591,0.8418572070472308,balanced
みとや,20250131,2025-01-31,31,1,202501,金,Fri5,0,0,29-31,244,244,681465,31504,129.11475409836066,2792.8893442622953,0.38114754098360654,4.622981371016854,over_budget
みとや,20250201,2025-02-01,1,2,202502,土,Sat1,1,0,1-7,264,264,1123656,-29004,-109.86363636363636,4256.272727272727,0.39015151515151514,-2.5812170272752515,under_budget
みとや,20250202,2025-02-02,2,2,202502,日,Sun1,1,0,1-7,263,263,1276172,-41145,-156.4448669201521,4852.365019011407,0.4068441064638783,-3.224095184661629,under_budget
みとや,20250203,2025-02-03,3,2,202502,月,Mon1,0,0,1-7,244,244,805675,50023,205.0122950819672,3301.9467213114754,0.4180327868852459,6.208831104353493,over_budget
みとや,20250204,2025-02-04,4,2,202502,火,Tue1,0,1,1-7,262,262,1285869,51456,196.3969465648855,4907.896946564885,0.4351145038167939,4.001651801233252,over_budget
みとや,20250205,2025-02-05,5,2,202502,水,Wed1,0,0,1-7,241,241,686509,-69514,-288.43983402489624,2848.585062240664,0.3070539419087137,-10.125723042232512,under_budget
みとや,20250206,2025-02-06,6,2,202502,木,Thu1,0,0,1-7,231,231,612625,-75453,-326.6363636363636,2652.056277056277,0.29004329004329005,-12.316343603346255,under_budget
みとや,20250207,2025-02-07,7,2,202502,金,Fri1,0,1,1-7,257,257,1032079,35282,137.284046692607,4015.871595330739,0.4163424124513619,3.418536759298465,over_budget
みとや,20250208,2025-02-08,8,2,202502,土,Sat2,1,0,8-14,261,261,1087978,3067,11.75095785440613,4168.498084291187,0.3716475095785441,0.2818990825182127,balanced
みとや,20250209,2025-02-09,9,2,202502,日,Sun2,1,0,8-14,258,258,1045018,-50222,-194.65891472868216,4050.4573643410854,0.39147286821705424,-4.805850234158647,under_budget
みとや,20250210,2025-02-10,10,2,202502,月,Mon2,0,0,8-14,253,253,811830,-47833,-189.06324110671937,3208.814229249012,0.33992094861660077,-5.891997092987448,under_budget
みとや,20250211,2025-02-11,11,2,202502,火,Tue2,0,0,8-14,264,264,1181288,-13561,-51.36742424242424,4474.575757575758,0.4166666666666667,-1.14798423415797,under_budget
みとや,20250212,2025-02-12,12,2,202502,水,Wed2,0,0,8-14,235,235,692252,-7460,-31.74468085106383,2945.7531914893616,0.39148936170212767,-1.0776422458873358,under_budget
みとや,20250213,2025-02-13,13,2,202502,木,Thu2,0,0,8-14,228,228,855489,9764,42.824561403508774,3752.1447368421054,0.43859649122807015,1.1413355402582617,over_budget
みとや,20250214,2025-02-14,14,2,202502,金,Fri2,0,1,8-14,263,263,1182993,32431,123.31178707224335,4498.072243346008,0.41064638783269963,2.741436339859999,over_budget
みとや,20250215,2025-02-15,15,2,202502,土,Sat3,1,0,15-21,260,260,1168055,-7500,-28.846153846153847,4492.5192307692305,0.4307692307692308,-0.6420930521251139,balanced
みとや,20250216,2025-02-16,16,2,202502,日,Sun3,1,0,15-21,263,263,1130057,-31143,-118.41444866920152,4296.794676806084,0.35361216730038025,-2.755878685765408,under_budget
みとや,20250217,2025-02-17,17,2,202502,月,Mon3,0,1,15-21,259,259,1027957,37269,143.8957528957529,3968.945945945946,0.4092664092664093,3.6255407570550133,over_budget
みとや,20250218,2025-02-18,18,2,202502,火,Tue3,0,0,15-21,231,231,671180,17301,74.8961038961039,2905.5411255411254,0.38961038961038963,2.577698977919485,over_budget
みとや,20250219,2025-02-19,19,2,202502,水,Wed3,0,0,15-21,243,243,671767,7936,32.65843621399177,2764.4732510288068,0.411522633744856,1.1813619900947798,over_budget
みとや,20250220,2025-02-20,20,2,202502,木,Thu3,0,0,15-21,237,237,618083,-38077,-160.66244725738397,2607.9451476793247,0.34177215189873417,-6.160499479843322,under_budget
みとや,20250221,2025-02-21,21,2,202502,金,Fri3,0,0,15-21,240,240,690308,-67070,-279.4583333333333,2876.2833333333333,0.32916666666666666,-9.715952879004734,under_budget
みとや,20250222,2025-02-22,22,2,202502,土,Sat4,1,0,22-28,263,263,1118764,-48546,-184.58555133079847,4253.855513307984,0.3574144486692015,-4.339252961303725,under_budget
みとや,20250223,2025-02-23,23,2,202502,日,Sun4,1,0,22-28,263,263,973937,32368,123.07224334600761,3703.1825095057034,0.39923954372623577,3.323418249845729,over_budget
みとや,20250224,2025-02-24,24,2,202502,月,Mon4,0,1,22-28,264,264,1495797,1769,6.700757575757576,5665.897727272727,0.45454545454545453,0.11826471105370583,balanced
みとや,20250225,2025-02-25,25,2,202502,火,Tue4,0,0,22-28,242,242,744279,-28599,-118.17768595041322,3075.53305785124,0.3140495867768595,-3.84251067140145,under_budget
みとや,20250226,2025-02-26,26,2,202502,水,Wed4,0,0,22-28,250,250,771743,4414,17.656,3086.972,0.404,0.5719520617614932,balanced
みとや,20250227,2025-02-27,27,2,202502,木,Thu4,0,1,22-28,259,259,951708,16220,62.625482625482626,3674.5482625482628,0.3938223938223938,1.704304261391099,over_budget
みとや,20250228,2025-02-28,28,2,202502,金,Fri4,0,0,22-28,254,254,917364,6324,24.89763779527559,3611.6692913385828,0.3661417322834646,0.6893664892016691,balanced
みとや,20250301,2025-03-01,1,3,202503,土,Sat1,1,0,1-7,265,265,1200525,-71379,-269.35471698113207,4530.2830188679245,0.39245283018867927,-5.945648778659336,under_budget
みとや,20250302,2025-03-02,2,3,202503,日,Sun1,1,0,1-7,262,262,1048907,-22989,-87.7442748091603,4003.461832061069,0.3702290076335878,-2.1917100372101626,under_budget
みとや,20250303,2025-03-03,3,3,202503,月,Mon1,0,0,1-7,256,256,1028639,15470,60.4296875,4018.12109375,0.4140625,1.503928977999084,over_budget
みとや,20250304,2025-03-04,4,3,202503,火,Tue1,0,1,1-7,265,265,1272546,72389,273.16603773584905,4802.060377358491,0.41132075471698115,5.688517350256887,over_budget
みとや,20250305,2025-03-05,5,3,202503,水,Wed1,0,0,1-7,250,250,740597,-12395,-49.58,2962.388,0.388,-1.673649771738206,under_budget
みとや,20250306,2025-03-06,6,3,202503,木,Thu1,0,0,1-7,232,232,661424,-37919,-163.44396551724137,2850.9655172413795,0.36637931034482757,-5.732933791335059,under_budget
みとや,20250307,2025-03-07,7,3,202503,金,Fri1,0,1,1-7,262,262,951743,-3515,-13.416030534351146,3632.6068702290077,0.3511450381679389,-0.36932239060334565,balanced
みとや,20250308,2025-03-08,8,3,202503,土,Sat2,1,0,8-14,264,264,1050197,-8301,-31.443181818181817,3978.0189393939395,0.39015151515151514,-0.7904231301365363,balanced
みとや,20250309,2025-03-09,9,3,202503,日,Sun2,1,0,8-14,263,263,982715,52857,200.97718631178708,3736.5589353612168,0.376425855513308,5.378670316419307,over_budget
みとや,20250310,2025-03-10,10,3,202503,月,Mon2,0,0,8-14,226,226,456953,-50924,-225.32743362831857,2021.91592920354,0.3053097345132743,-11.144253347718475,under_budget
みとや,20250311,2025-03-11,11,3,202503,火,Tue2,0,0,8-14,235,235,690045,1314,5.591489361702128,2936.3617021276596,0.39574468085106385,0.19042236375888527,balanced
みとや,20250312,2025-03-12,12,3,202503,水,Wed2,0,0,8-14,229,229,677592,32658,142.6113537117904,2958.9170305676857,0.37117903930131,4.819714518471292,over_budget
みとや,20250313,2025-03-13,13,3,202503,木,Thu2,0,0,8-14,231,231,676036,-4085,-17.683982683982684,2926.5627705627708,0.3593073593073593,-0.6042577614209894,balanced
みとや,20250314,2025-03-14,14,3,202503,金,Fri2,0,1,8-14,265,265,1274758,28749,108.48679245283019,4810.407547169812,0.4716981132075472,2.2552515850067225,over_budget
みとや,20250315,2025-03-15,15,3,202503,土,Sat3,1,0,15-21,262,262,1067923,10801,41.225190839694655,4076.0419847328244,0.42748091603053434,1.0114025074841537,over_budget
みとや,20250316,2025-03-16,16,3,202503,日,Sun3,1,0,15-21,264,264,920877,-11686,-44.265151515151516,3488.1704545454545,0.36742424242424243,-1.269007695924646,under_budget
みとや,20250317,2025-03-17,17,3,202503,月,Mon3,0,1,15-21,252,252,913004,32432,128.6984126984127,3623.031746031746,0.376984126984127,3.5522297821258175,over_budget
みとや,20250318,2025-03-18,18,3,202503,火,Tue3,0,0,15-21,266,266,1306445,37632,141.47368421052633,4911.4473684210525,0.42857142857142855,2.880488654325287,over_budget
みとや,20250319,2025-03-19,19,3,202503,水,Wed3,0,0,15-21,253,253,685820,-65965,-260.7312252964427,2710.7509881422925,0.308300395256917,-9.618412994663322,under_budget
みとや,20250320,2025-03-20,20,3,202503,木,Thu3,0,0,15-21,263,263,1013579,4729,17.980988593155892,3853.9125475285173,0.3650190114068441,0.46656452037779006,balanced
みとや,20250321,2025-03-21,21,3,202503,金,Fri3,0,0,15-21,244,244,713970,-45026,-184.5327868852459,2926.1065573770493,0.4016393442622951,-6.306427440928891,under_budget
みとや,20250322,2025-03-22,22,3,202503,土,Sat4,1,0,22-28,262,262,1062090,-40973,-156.3854961832061,4053.7786259541986,0.37404580152671757,-3.8577709986912594,under_budget
みとや,20250323,2025-03-23,23,3,202503,日,Sun4,1,0,22-28,263,263,992190,-28373,-107.88212927756653,3772.5855513307984,0.3726235741444867,-2.8596337395055382,under_budget
みとや,20250324,2025-03-24,24,3,202503,月,Mon4,0,1,22-28,266,266,1311475,53868,202.51127819548873,4930.357142857143,0.4548872180451128,4.107436283573838,over_budget
みとや,20250325,2025-03-25,25,3,202503,火,Tue4,0,0,22-28,256,256,767716,-35178,-137.4140625,2998.890625,0.3984375,-4.582163195765101,under_budget
みとや,20250326,2025-03-26,26,3,202503,水,Wed4,0,0,22-28,241,241,652833,-62523,-259.43153526970957,2708.850622406639,0.3070539419087137,-9.577181300577637,under_budget
みとや,20250327,2025-03-27,27,3,202503,木,Thu4,0,1,22-28,264,264,965741,54806,207.59848484848484,3658.1098484848485,0.42045454545454547,5.675020528278286,over_budget
みとや,20250328,2025-03-28,28,3,202503,金,Fri4,0,0,22-28,243,243,665019,14722,60.584362139917694,2736.703703703704,0.38271604938271603,2.2137713358565696,over_budget
みとや,20250329,2025-03-29,29,3,202503,土,Sat5,1,0,29-31,265,265,1036351,-30518,-115.1622641509434,3910.758490566038,0.4,-2.9447552035941493,under_budget
みとや,20250330,2025-03-30,30,3,202503,日,Sun5,1,0,29-31,255,255,567823,-67481,-264.6313725490196,2226.7568627450983,0.33725490196078434,-11.884161085408659,under_budget
みとや,20250331,2025-03-31,31,3,202503,月,Mon5,0,0,29-31,255,255,700546,-3214,-12.60392156862745,2747.2392156862743,0.3568627450980392,-0.45878500483908263,balanced
みとや,20250401,2025-04-01,1,4,202504,火,Tue1,0,0,1-7,243,243,601340,-14980,-61.64609053497942,2474.650205761317,0.3497942386831276,-2.491103202846975,under_budget
みとや,20250402,2025-04-02,2,4,202504,水,Wed1,0,0,1-7,254,254,713850,-34273,-134.93307086614172,2810.433070866142,0.3464566929133858,-4.801148700707431,under_budget
みとや,20250403,2025-04-03,3,4,202504,木,Thu1,0,0,1-7,253,253,655003,-26718,-105.60474308300395,2588.9446640316205,0.3675889328063241,-4.0790652867238775,under_budget
みとや,20250404,2025-04-04,4,4,202504,金,Fri1,0,1,1-7,266,266,1513173,177383,666.8533834586466,5688.62030075188,0.5225563909774437,11.722585586710839,over_budget
みとや,20250405,2025-04-05,5,4,202504,土,Sat1,1,0,1-7,261,261,998007,34242,131.19540229885058,3823.7816091954023,0.3946360153256705,3.4310380588512905,over_budget
みとや,20250406,2025-04-06,6,4,202504,日,Sun1,1,0,1-7,264,264,899806,-73981,-280.2310606060606,3408.3560606060605,0.30303030303030304,-8.221883383751608,under_budget
みとや,20250407,2025-04-07,7,4,202504,月,Mon1,0,1,1-7,262,262,1032645,65602,250.38931297709922,3941.3931297709923,0.4351145038167939,6.352812437962707,over_budget
みとや,20250408,2025-04-08,8,4,202504,火,Tue2,0,0,8-14,249,249,686329,-50974,-204.71485943775102,2756.3413654618475,0.3092369477911647,-7.4270502922068,under_budget
みとや,20250409,2025-04-09,9,4,202504,水,Wed2,0,0,8-14,247,247,678690,3068,12.421052631578947,2747.732793522267,0.4048582995951417,0.4520473264671647,balanced
みとや,20250410,2025-04-10,10,4,202504,木,Thu2,0,0,8-14,252,252,796430,-22048,-87.4920634920635,3160.436507936508,0.36904761904761907,-2.7683537787376165,under_budget
みとや,20250411,2025-04-11,11,4,202504,金,Fri2,0,0,8-14,253,253,819700,39672,156.80632411067194,3239.920948616601,0.39920948616600793,4.839819446138831,over_budget
みとや,20250412,2025-04-12,12,4,202504,土,Sat2,1,0,8-14,264,264,1033288,-18485,-70.01893939393939,3913.969696969697,0.38636363636363635,-1.7889494506855785,under_budget
みとや,20250413,2025-04-13,13,4,202504,日,Sun2,1,0,8-14,264,264,979758,-74362,-281.67424242424244,3711.2045454545455,0.32575757575757575,-7.589833407841528,under_budget
みとや,20250414,2025-04-14,14,4,202504,月,Mon2,0,1,8-14,265,265,1296624,71627,270.29056603773586,4892.920754716981,0.42641509433962266,5.524114932316539,over_budget
みとや,20250415,2025-04-15,15,4,202504,火,Tue3,0,0,15-21,251,251,753806,-12304,-49.0199203187251,3003.211155378486,0.3944223107569721,-1.6322502076130994,under_budget
みとや,20250416,2025-04-16,16,4,202504,水,Wed3,0,0,15-21,247,247,715273,-44722,-181.06072874493927,2895.842105263158,0.31983805668016196,-6.2524378803617635,under_budget
みとや,20250417,2025-04-17,17,4,202504,木,Thu3,0,1,15-21,260,260,1003749,76378,293.76153846153846,3860.5730769230768,0.4576923076923077,7.609272836137321,over_budget
みとや,20250418,2025-04-18,18,4,202504,金,Fri3,0,0,15-21,249,249,674633,-70095,-281.50602409638554,2709.3694779116468,0.321285140562249,-10.39009357680398,under_budget
みとや,20250419,2025-04-19,19,4,202504,土,Sat3,1,0,15-21,262,262,1083325,23144,88.33587786259542,4134.82824427481,0.38549618320610685,2.1363856645051116,over_budget
みとや,20250420,2025-04-20,20,4,202504,日,Sun3,1,0,15-21,261,261,936591,-18685,-71.59003831417624,3588.4712643678163,0.3563218390804598,-1.9950010196553243,under_budget
みとや,20250421,2025-04-21,21,4,202504,月,Mon3,0,0,15-21,244,244,796602,-21988,-90.11475409836065,3264.7622950819673,0.36885245901639346,-2.7602240516594234,under_budget
みとや,20250422,2025-04-22,22,4,202504,火,Tue4,0,0,22-28,240,240,702528,-33776,-140.73333333333332,2927.2,0.37083333333333335,-4.8077799034344535,under_budget
みとや,20250423,2025-04-23,23,4,202504,水,Wed4,0,0,22-28,226,226,617959,-30657,-135.6504424778761,2734.33185840708,0.33185840707964603,-4.961008740062043,under_budget
みとや,20250424,2025-04-24,24,4,202504,木,Thu4,0,1,22-28,265,265,1260004,81564,307.788679245283,4754.732075471698,0.4830188679245283,6.473312783134022,over_budget
みとや,20250425,2025-04-25,25,4,202504,金,Fri4,0,0,22-28,256,256,728948,-62490,-244.1015625,2847.453125,0.34375,-8.572627951513688,under_budget
みとや,20250426,2025-04-26,26,4,202504,土,Sat4,1,0,22-28,264,264,1089449,-13252,-50.196969696969695,4126.700757575758,0.3977272727272727,-1.2163947096192662,under_budget
みとや,20250427,2025-04-27,27,4,202504,日,Sun4,1,1,22-28,266,266,1322122,67689,254.4699248120301,4970.383458646616,0.4398496240601504,5.119724200943635,over_budget
みとや,20250428,2025-04-28,28,4,202504,月,Mon4,0,0,22-28,255,255,771690,-11770,-46.15686274509804,3026.235294117647,0.38823529411764707,-1.5252238593217484,under_budget
みとや,20250429,2025-04-29,29,4,202504,火,Tue5,0,0,29-31,265,265,1106064,-81176,-306.3245283018868,4173.82641509434,0.3471698113207547,-7.339177479784172,under_budget
みとや,20250430,2025-04-30,30,4,202504,水,Wed5,0,0,29-31,262,262,1029622,48160,183.81679389312978,3929.8549618320612,0.4312977099236641,4.677444732144418,over_budget
みとや,20250501,2025-05-01,1,5,202505,木,Thu1,0,0,1-7,261,261,935059,-35871,-137.4367816091954,3582.6015325670496,0.3103448275862069,-3.8362285160615532,under_budget
みとや,20250502,2025-05-02,2,5,202505,金,Fri1,0,0,1-7,263,263,896721,-41974,-159.59695817490496,3409.5855513307984,0.3612167300380228,-4.680831607601473,under_budget
みとや,20250503,2025-05-03,3,5,202505,土,Sat1,1,0,1-7,265,265,1082547,-51401,-193.96603773584906,4085.0830188679247,0.36981132075471695,-4.7481541217148076,under_budget
みとや,20250504,2025-05-04,4,5,202505,日,Sun1,1,1,1-7,266,266,1490504,-33444,-125.72932330827068,5603.398496240601,0.42857142857142855,-2.2438047801280643,under_budget
みとや,20250505,2025-05-05,5,5,202505,月,Mon1,0,0,1-7,266,266,1443947,148771,559.2894736842105,5428.372180451128,0.49624060150375937,10.303078991126407,over_budget
みとや,20250506,2025-05-06,6,5,202505,火,Tue1,0,0,1-7,263,263,954823,-29181,-110.95437262357414,3630.505703422053,0.34600760456273766,-3.0561685254754023,under_budget
みとや,20250507,2025-05-07,7,5,202505,水,Wed1,0,1,1-7,266,266,1092244,67643,254.296992481203,4106.18045112782,0.4473684210526316,6.19303012879906,over_budget
みとや,20250508,2025-05-08,8,5,202505,木,Thu2,0,0,8-14,237,237,715731,-27580,-116.37130801687763,3019.9620253164558,0.3881856540084388,-3.8534030243205897,under_budget
みとや,20250509,2025-05-09,9,5,202505,金,Fri2,0,0,8-14,249,249,725458,-52997,-212.8393574297189,2913.4859437751006,0.3253012048192771,-7.305316089973507,under_budget
みとや,20250510,2025-05-10,10,5,202505,土,Sat2,1,0,8-14,264,264,1197793,1142,4.325757575757576,4537.094696969697,0.39015151515151514,0.09534201652539295,balanced
みとや,20250511,2025-05-11,11,5,202505,日,Sun2,1,0,8-14,263,263,1106030,36232,137.76425855513307,4205.4372623574145,0.39543726235741444,3.2758605101127456,over_budget
みとや,20250512,2025-05-12,12,5,202505,月,Mon2,0,0,8-14,255,255,690392,2426,9.513725490196078,2707.4196078431373,0.3764705882352941,0.3513945700413678,balanced
みとや,20250513,2025-05-13,13,5,202505,火,Tue2,0,0,8-14,245,245,662324,-25615,-104.55102040816327,2703.3632653061222,0.3510204081632653,-3.8674425205790524,under_budget
みとや,20250514,2025-05-14,14,5,202505,水,Wed2,0,1,8-14,265,265,1322521,54586,205.98490566037736,4990.645283018868,0.4377358490566038,4.127420282929345,over_budget
みとや,20250515,2025-05-15,15,5,202505,木,Thu3,0,0,15-21,246,246,640438,-35629,-144.83333333333334,2603.4065040650407,0.3699186991869919,-5.563223918630687,under_budget
みとや,20250516,2025-05-16,16,5,202505,金,Fri3,0,0,15-21,241,241,710429,-28429,-117.96265560165975,2947.838174273859,0.38589211618257263,-4.0016665986326565,under_budget
みとや,20250517,2025-05-17,17,5,202505,土,Sat3,1,1,15-21,266,266,1259407,25241,94.89097744360902,4734.612781954887,0.424812030075188,2.0041972134504573,over_budget
みとや,20250518,2025-05-18,18,5,202505,日,Sun3,1,0,15-21,265,265,1030790,18104,68.31698113207547,3889.7735849056603,0.3584905660377358,1.7563228203610823,over_budget
みとや,20250519,2025-05-19,19,5,202505,月,Mon3,0,0,15-21,251,251,683581,-32059,-127.72509960159363,2723.430278884462,0.3665338645418327,-4.6898611868966515,under_budget
みとや,20250520,2025-05-20,20,5,202505,火,Tue3,0,0,15-21,248,248,618956,-21502,-86.70161290322581,2495.7903225806454,0.3548387096774194,-3.473914139292615,under_budget
みとや,20250521,2025-05-21,21,5,202505,水,Wed3,0,0,15-21,238,238,706949,2394,10.058823529411764,2970.373949579832,0.3739495798319328,0.33863828932497253,balanced
みとや,20250522,2025-05-22,22,5,202505,木,Thu4,0,0,22-28,247,247,692769,-10696,-43.30364372469636,2804.732793522267,0.3684210526315789,-1.5439489930987098,under_budget
みとや,20250523,2025-05-23,23,5,202505,金,Fri4,0,0,22-28,254,254,722287,-32915,-129.58661417322836,2843.649606299213,0.3346456692913386,-4.5570528058791036,under_budget
みとや,20250524,2025-05-24,24,5,202505,土,Sat4,1,1,22-28,265,265,1527899,66773,251.97358490566037,5765.656603773585,0.4679245283018868,4.370249604195042,over_budget
みとや,20250525,2025-05-25,25,5,202505,日,Sun4,1,0,22-28,262,262,1040946,-8998,-34.343511450381676,3973.0763358778627,0.37404580152671757,-0.8644060306682575,balanced
みとや,20250526,2025-05-26,26,5,202505,月,Mon4,0,0,22-28,243,243,724311,6525,26.85185185185185,2980.703703703704,0.411522633744856,0.9008561239578026,balanced
みとや,20250527,2025-05-27,27,5,202505,火,Tue4,0,1,22-28,264,264,1069917,82026,310.70454545454544,4052.715909090909,0.42424242424242425,7.666576005428459,over_budget
みとや,20250528,2025-05-28,28,5,202505,水,Wed4,0,0,22-28,248,248,600275,-68844,-277.5967741935484,2420.4637096774195,0.2862903225806452,-11.468743492565906,under_budget
みとや,20250529,2025-05-29,29,5,202505,木,Thu5,0,0,29-31,251,251,587550,-51844,-206.54980079681275,2340.836653386454,0.29880478087649404,-8.823759680027232,under_budget
みとや,20250530,2025-05-30,30,5,202505,金,Fri5,0,0,29-31,265,265,1048443,107351,405.09811320754716,3956.388679245283,0.46037735849056605,10.239087866483919,over_budget
みとや,20250531,2025-05-31,31,5,202505,土,Sat5,1,0,29-31,264,264,1095858,-123020,-465.9848484848485,4150.977272727273,0.3371212121212121,-11.225907006199709,under_budget
みとや,20250601,2025-06-01,1,6,202506,日,Sun1,1,0,1-7,262,262,998761,-1104,-4.213740458015267,3812.0648854961833,0.33969465648854963,-0.11053695528760134,balanced
みとや,20250602,2025-06-02,2,6,202506,月,Mon1,0,0,1-7,254,254,736454,4011,15.791338582677165,2899.4251968503936,0.4015748031496063,0.5446368680189122,balanced
みとや,20250603,2025-06-03,3,6,202506,火,Tue1,0,0,1-7,244,244,718793,53745,220.26639344262296,2945.872950819672,0.430327868852459,7.477117890686193,over_budget
みとや,20250604,2025-06-04,4,6,202506,水,Wed1,0,1,1-7,266,266,1422528,68273,256.66541353383457,5347.849624060151,0.4774436090225564,4.799413438610698,over_budget
みとや,20250605,2025-06-05,5,6,202506,木,Thu1,0,0,1-7,245,245,710371,2366,9.657142857142857,2899.473469387755,0.363265306122449,0.3330653982214927,balanced
みとや,20250606,2025-06-06,6,6,202506,金,Fri1,0,0,1-7,261,261,1088968,51100,195.78544061302682,4172.291187739464,0.4099616858237548,4.692516217189119,over_budget
