machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes,source_url,source_status,source_confidence,source_query,source_candidate_count,source_reason,canonical_machine_name,manufacturer_canonical,cabinet_type,game_type,bt_flag,at_initial_setting1,at_initial_setting2,at_initial_setting3,at_initial_setting4,at_initial_setting5,at_initial_setting6,bonus_initial_setting1,bonus_initial_setting2,bonus_initial_setting3,bonus_initial_setting4,bonus_initial_setting5,bonus_initial_setting6,bonus_combined_setting1,bonus_combined_setting2,bonus_combined_setting3,bonus_combined_setting4,bonus_combined_setting5,bonus_combined_setting6,combined_initial_setting1,combined_initial_setting2,combined_initial_setting3,combined_initial_setting4,combined_initial_setting5,combined_initial_setting6,rtp_complete_setting1,rtp_complete_setting2,rtp_complete_setting3,rtp_complete_setting4,rtp_complete_setting5,rtp_complete_setting6,source_title,source_checked_at
HEY！エリートサラリーマン鏡,パオン・ディーピー,2022-12-05,スマスロ / AT,97.6,98.9,,104.5,110.6,114.9,,,,,,,,,,,,,AT初当り:1/269.4〜1/189.6 天井:999G,https://1geki.jp/slot/s_hey_eskagami/,selected,0.85,HEY！エリートサラリーマン鏡,1,title_contains,HEY！エリートサラリーマン鏡,パオン・ディーピー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB SHAKE BONUS TRIGGER,Daito（大都技研）,2025-10-20,スマスロ / ノーマル / BT,98.6,100.6,,,103.0,106.1,1/350.5,1/327.7,,,1/341.3,1/297.9,1/425.6,1/332.7,,,1/409.6,1/297.9,DB別名行（正式名称:SHAKE BONUS TRIGGER）、スマスロ/ノーマル(A)タイプ/ボーナストリガー、設定1/2/5/6の4段階、ボーナス合算は設定1=1/192.2/設定2=1/165.1/設定5=1/186.2/設定6=1/148.9、完全攻略時出玉率は設定1=100.4%/設定2=102.4%/設定5=104.9%/設定6=108.1%、BB平均約400枚（BT含む/設定1）・RB平均約80枚、天井非搭載、ベース約37G（設定1）、導入台数約4000台,https://1geki.jp/slot/lb_shake/,selected,0.85,SHAKE BONUS TRIGGER,1,title_contains,SHAKE BONUS TRIGGER,大都技研,スマスロ,ノーマル,1,,,,,,,,,,,,,1/192.2,1/165.1,,,1/186.2,1/148.9,,,,,,,100.4,102.4,,,104.9,108.1,,
LBニューパルサー,YAMASA（山佐）,2025-06-02,スマスロ / ノーマル / BT,98.7,100.1,,,103.0,106.8,,,,,,,,,,,,,ボーナス合算は設定1=1/183.1/設定2=1/173.4/設定5=1/166.3/設定6=1/156.0、初当り時のBB/RB比率は全設定1:1、完全攻略時出玉率は設定1=100.0%/設定2=101.5%/設定5=104.5%/設定6=108.3%、ボーナス合算は設定1=1/183.1/設定2=1/173.4/設定5=1/166.3/設定6=1/156.0、完全攻略時出玉率は設定1=100.0%/設定2=101.5%/設定5=104.5%/設定6=108.3%、一撃掲載表にBB/RB個別確率なし,https://1geki.jp/slot/lb_newpulsar/,selected,1.0,LBニューパルサー,1,verified_exact_page,ニューパルサーBT,山佐,スマスロ,ノーマル,1,,,,,,,,,,,,,1/183.1,1/173.4,,,1/166.3,1/156.0,,,,,,,100.0,101.5,,,104.5,108.3,,
LBニューパルサーBTC9,YAMASA（山佐）,2025-06-02,スマスロ / ノーマル / BT,98.7,100.1,,,103.0,106.8,,,,,,,,,,,,,ボーナス合算は設定1=1/183.1/設定2=1/173.4/設定5=1/166.3/設定6=1/156.0、初当り時のBB/RB比率は全設定1:1、完全攻略時出玉率は設定1=100.0%/設定2=101.5%/設定5=104.5%/設定6=108.3%、ボーナス合算は設定1=1/183.1/設定2=1/173.4/設定5=1/166.3/設定6=1/156.0、完全攻略時出玉率は設定1=100.0%/設定2=101.5%/設定5=104.5%/設定6=108.3%、一撃掲載表にBB/RB個別確率なし,https://1geki.jp/slot/lb_newpulsar/,selected,1.0,LBニューパルサーBTC9,1,verified_formal_model_alias,ニューパルサーBT,山佐,スマスロ,ノーマル,1,,,,,,,,,,,,,1/183.1,1/173.4,,,1/166.3,1/156.0,,,,,,,100.0,101.5,,,104.5,108.3,,
LB翔べ!ハーレムエースCF,NET（ネット）,2025-06-02,スマスロ / ノーマル / BT,98.1,99.9,,,104.7,110.0,1/402.1,1/390.1,,,1/343.1,1/307.7,1/560.1,1/508.0,,,1/409.6,1/327.7,完全攻略時機械割設定1=98.1%・設定6=112.4%、BT契機の「ハーレムボーナス」当選率自体に設定差なし、強チェリー・斜めスイカ成立時のボーナス同時当選期待度やBT中ハーレムボーナス(ピンク7揃い)に設定差、ボーナス合算は設定1=1/234.1/設定2=1/220.7/設定5=1/186.7/設定6=1/158.7,https://1geki.jp/slot/lb_harema/,selected,0.9,LB翔べ!ハーレムエースCF,1,title_contains,翔べ！ハーレムエース,ネット,スマスロ,ノーマル,1,,,,,,,,,,,,,1/234.1,1/220.7,,,1/186.7,1/158.7,,,,,,,98.1,,,,,112.4,,
OVER-SLOT「AINZ OOAL GOWN絶対支配者光臨」,OIZUMI（オーイズミ）,2019-08-19,AT,97.8,99.4,101.4,103.9,106.3,110.1,,,,,,,,,,,,,ボーナス合算は設定1=1/265.1/設定2=1/239.2/設定3=1/227.9/設定4=1/201.0/設定5=1/198.4/設定6=1/156.2、AT出現率は設定1=1/737.6/設定2=1/611.9/設定3=1/639.6/設定4=1/499.5/設定5=1/535.2/設定6=1/352.2、天井786G+α,https://1geki.jp/slot/s_overslot/,selected,0.9,OVER-SLOT「AINZ OOAL GOWN絶対支配者光臨」,1,title_contains,OVER-SLOT「AINZ OOAL GOWN絶対支配者光臨」,オーイズミ,メダル,AT,0,,,,,,,,,,,,,1/265.1,1/239.2,1/227.9,1/201.0,1/198.4,1/156.2,,,,,,,,,,,,,,
OVERLORD絶対支配者光臨II,OIZUMI（オーイズミ）,2023-03-20,AT,97.6,98.7,101.5,104.5,108.0,112.0,,,,,,,,,,,,,AT初当りは設定1=1/334/設定2=1/331/設定3=1/309/設定4=1/289/設定5=1/264/設定6=1/246、天井最大786G+α,https://1geki.jp/slot/s_overlord2/,selected,0.9,OVERLORD絶対支配者光臨II,1,title_contains,OVERLORD絶対支配者光臨II,オーイズミ,メダル,AT,0,1/334,1/331,1/309,1/289,1/264,1/246,,,,,,,,,,,,,,,,,,,,,,,,,,
Re:ゼロから始める異世界生活,Daito（大都技研）,2019-03-04,AT,97.4,99.0,101.0,103.9,108.0,113.3,,,,,,,,,,,,,白鯨攻略戦は設定1=1/523.8/設定2=1/486.6/設定3=1/491.4/設定4=1/402.5/設定5=1/379.8/設定6=1/333.8,https://1geki.jp/slot/s_rezero/,selected,1.0,Re:ゼロから始める異世界生活,1,verified_exact_page,Re:ゼロから始める異世界生活,大都技研,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re:ゼロから始める異世界生活 season2,パオン・ディーピー,2024-10-21,スマスロ / AT,97.6,98.8,100.7,105.2,110.5,114.9,,,,,,,,,,,,,AT初当りは設定1=1/417.2/設定2=1/408.5/設定3=1/387.1/設定4=1/354.3/設定5=1/332.9/設定6=1/305.4、天井最大1400pt(平均約930G),https://1geki.jp/slot/l_rezero_season2/,selected,0.85,Re:ゼロから始める異世界生活 season2,1,title_contains,Re:ゼロから始める異世界生活 season2,パオン・ディーピー,スマスロ,AT,0,1/417.2,1/408.5,1/387.1,1/354.3,1/332.9,1/305.4,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAKE BONUS TRIGGER,Daito（大都技研）,2025-10-20,スマスロ / ノーマル / BT,98.6,100.6,,,103.0,106.1,1/350.5,1/327.7,,,1/341.3,1/297.9,1/425.6,1/332.7,,,1/409.6,1/297.9,正式名称:SHAKE BONUS TRIGGER、スマスロ/ノーマル(A)タイプ/ボーナストリガー、設定1/2/5/6の4段階、ボーナス合算は設定1=1/192.2/設定2=1/165.1/設定5=1/186.2/設定6=1/148.9、完全攻略時出玉率は設定1=100.4%/設定2=102.4%/設定5=104.9%/設定6=108.1%、BB平均約400枚（BT含む/設定1）・RB平均約80枚、天井非搭載、ベース約37G（設定1）、導入台数約4000台,https://1geki.jp/slot/lb_shake/,selected,0.85,SHAKE BONUS TRIGGER,1,title_contains,SHAKE BONUS TRIGGER,大都技研,スマスロ,ノーマル,1,,,,,,,,,,,,,1/192.2,1/165.1,,,1/186.2,1/148.9,,,,,,,100.4,102.4,,,104.9,108.1,,
SHAKE BONUS TRIGGER(スマスロ),Daito（大都技研）,2025-10-20,スマスロ / ノーマル / BT,98.6,100.6,,,103.0,106.1,1/350.5,1/327.7,,,1/341.3,1/297.9,1/425.6,1/332.7,,,1/409.6,1/297.9,DB別名行（正式名称:SHAKE BONUS TRIGGER）、スマスロ/ノーマル(A)タイプ/ボーナストリガー、設定1/2/5/6の4段階、ボーナス合算は設定1=1/192.2/設定2=1/165.1/設定5=1/186.2/設定6=1/148.9、完全攻略時出玉率は設定1=100.4%/設定2=102.4%/設定5=104.9%/設定6=108.1%、BB平均約400枚（BT含む/設定1）・RB平均約80枚、天井非搭載、ベース約37G（設定1）、導入台数約4000台,https://1geki.jp/slot/lb_shake/,selected,0.85,SHAKE BONUS TRIGGER,1,title_contains,SHAKE BONUS TRIGGER,大都技研,スマスロ,ノーマル,1,,,,,,,,,,,,,1/192.2,1/165.1,,,1/186.2,1/148.9,,,,,,,100.4,102.4,,,104.9,108.1,,
SLOTドルアーガの塔,MIZUHO（ミズホ）,2025-09-08,A+AT,99.0,100.3,,,102.3,104.9,1/299.3,1/291.3,,,1/280.1,1/266.4,1/448.9,1/436.9,,,1/420.1,1/399.6,スマスロ版とは別の旧パチスロ版(SLOT版)。詳細スペックは検索で未確認、スマスロ版(行参照)とは別物として扱う、ボーナス合算は設定1=1/179.6/設定2=1/174.8/設定5=1/168.0/設定6=1/159.8,https://1geki.jp/slot/s_druaga/,selected,0.9,SLOTドルアーガの塔,2,title_contains,SLOTドルアーガの塔,ミズホ,メダル,A+AT,0,,,,,,,,,,,,,1/179.6,1/174.8,,,1/168.0,1/159.8,,,,,,,,,,,,,,
Sister Quest,Carmina（カルミナ）,2025-03-03,スマスロ / AT,97.7,98.5,100.2,103.8,107.0,111.2,,,,,,,,,,,,,AT確率1/470.0(設定1)〜1/367.0(設定6)、機械割設定1=97.7%・設定6=111.2%(設定差約13.5%とスマスロでは大きめ)、2025年3月導入のRPG系AT機,https://1geki.jp/slot/l_sisterquest/,selected,1.0,Sister Quest,1,"title_contains,slug_contains",Sister Quest,カルミナ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister Quest(シスタークエスト),Carmina（カルミナ）,2025-03-03,スマスロ / AT,97.7,98.5,100.2,103.8,107.0,111.2,,,,,,,,,,,,,ATタイプ/スマスロ/天井(CZ間天井最大1400EXP+α)、AT純増約3枚or約5枚/G、機械割は設定1=97.7%/設定2=98.5%/設定3=100.2%/設定4=103.8%/設定5=107.0%/設定6=111.2%、Quest Battle(CZ)確率は設定1=1/317.3〜設定6=1/267.0、冒険RUSH(AT)直撃確率は設定1=1/470.0〜設定6=1/367.0、Sister Questシリーズ8年ぶり復活、自力バトルCZから冒険RUSH(差枚3枚増ペース)へ,https://1geki.jp/slot/l_sisterquest/,selected,1.0,Sister Quest(シスタークエスト),1,"title_contains,slug_contains",Sister Quest,カルミナ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister Quest(スマスロ),Carmina（カルミナ）,2025-03-03,スマスロ / AT,97.7,98.5,100.2,103.8,107.0,111.2,,,,,,,,,,,,,ATタイプ/スマスロ/天井(CZ間天井最大1400EXP+α)、AT純増約3枚or約5枚/G、機械割は設定1=97.7%/設定2=98.5%/設定3=100.2%/設定4=103.8%/設定5=107.0%/設定6=111.2%、Quest Battle(CZ)確率は設定1=1/317.3〜設定6=1/267.0、冒険RUSH(AT)直撃確率は設定1=1/470.0〜設定6=1/367.0、Sister Questシリーズ8年ぶり復活、自力バトルCZから冒険RUSH(差枚3枚増ペース)へ,https://1geki.jp/slot/l_sisterquest/,selected,1.0,Sister Quest(スマスロ),1,"title_contains,slug_contains",Sister Quest,カルミナ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToLOVEるダークネス,OLYMPIA ESTATE（オリンピアエステート）,2024-06-03,スマスロ / AT,,98.0,99.0,102.5,105.8,110.1,,,,,,,,,,,,,設定1非搭載 AT初当り:1/352(設定2)〜1/311(設定6) 天井:999G+α,https://1geki.jp/slot/l_toloveru_darkness/,selected,1.0,ToLOVEるダークネス,1,manual_exact_variant,ToLOVEるダークネス,オリンピアエステート,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToLOVEるダークネス TRANCE ver.8.7,OLYMPIA ESTATE（オリンピアエステート）,2025-05-19,スマスロ / AT,,98.0,99.0,103.1,110.3,112.0,,,,,,,,,,,,,設定1非搭載 天井:999G+α,https://1geki.jp/slot/l_toloveru_d_trance/,selected,0.85,ToLOVEるダークネス TRANCE ver.8.7,1,title_contains,ToLOVEるダークネス TRANCE ver.8.7,オリンピアエステート,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTRAMAN,七匠,2019-12-02,AT,97.5,98.7,100.6,104.2,107.0,108.8,,,,,,,,,,,,,AT確率:1/678〜1/524 天井:777G,https://1geki.jp/slot/l_ultraman_sai/,selected,1.0,ULTRAMAN,3,"title_contains,slug_contains",ULTRAMAN,七匠,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTRAMAN(スマスロ),OK!!（オッケー）,2025-06-02,スマスロ / AT,97.7,99.0,,104.1,109.7,114.9,,,,,,,,,,,,,ATタイプ/スマスロ/天井(最大998G+α)、AT純増約4.0枚/G、ベース(50枚あたり)約33.6G、機械割は設定1=97.7%/設定2=99.0%/設定4=104.1%/設定5=109.7%/設定6=114.9%(設定3未掲載)、AT初当り確率は設定1=1/320.2/設定2=1/308.7/設定4=1/271.9/設定5=1/247.3/設定6=1/222.8、上位状態「リミッター解除」継続率約93%(Vストック・引き戻し含む)、正規名:L ULTRAMAN,https://1geki.jp/slot/l_ultraman/,selected,1.0,ULTRAMAN(スマスロ),1,manual_exact_variant,ULTRAMAN(スマスロ),オッケー,スマスロ,AT,0,1/320.2,1/308.7,,1/271.9,1/247.3,1/222.8,,,,,,,,,,,,,,,,,,,,,,,,,,
あの日見た花の名前を僕達はまだ知らない。,サミー,2019-08-05,AT,97.9,98.9,100.8,104.4,108.1,110.1,,,,,,,,,,,,,AT初当り:1/356〜1/242 天井:1000G,https://1geki.jp/slot/s_anohana/,selected,0.9,あの日見た花の名前を僕達はまだ知らない。,1,title_contains,あの日見た花の名前を僕達はまだ知らない。,サミー,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ありふれた職業で世界最強,SANKYO（三共）,2025-02-03,スマスロ / AT,97.7,99.0,101.3,105.8,110.6,114.9,,,,,,,,,,,,,AT初当り:1/297〜1/224 天井:999G,https://1geki.jp/slot/l_arifureta/,selected,0.9,ありふれた職業で世界最強,1,title_contains,ありふれた職業で世界最強,三共,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いざ!番長,sabohani（サボハニ）,2025-06-02,スマスロ / AT,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」,https://1geki.jp/slot/l_bancho_iza/,selected,0.9,いざ!番長,3,title_contains,いざ！番長,サボハニ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,1/386.9,1/368.5,1/375.8,1/332.4,1/351.6,1/312.1,,,,,,,,
いざ!番長(スマスロ),sabohani（サボハニ）,2025-06-02,スマスロ / AT,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」,https://1geki.jp/slot/l_bancho_iza/,selected,0.9,いざ!番長(スマスロ),3,title_contains,いざ！番長,サボハニ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,1/386.9,1/368.5,1/375.8,1/332.4,1/351.6,1/312.1,,,,,,,,
いざ！番長,sabohani（サボハニ）,2025-06-02,スマスロ / AT,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」,https://1geki.jp/slot/l_bancho_iza/,selected,0.9,いざ！番長,3,title_contains,いざ！番長,サボハニ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,1/386.9,1/368.5,1/375.8,1/332.4,1/351.6,1/312.1,,,,,,,,
うしおととら 白面決戦,Idol（アイドル）,2025-04-07,スマスロ / AT,97.9,99.2,100.5,104.6,109.4,114.9,,,,,,,,,,,,,ATタイプ/スマスロ/天井(CZ間天井600G+α、AT間天井最大2500G)、AT純増約5.0枚/G、ベース(50枚あたり)約33G、機械割は設定1=97.9%/設定2=99.2%/設定3=100.5%/設定4=104.6%/設定5=109.4%/設定6=114.9%、CZ初当り確率は設定1=1/178.0〜設定6=1/159.0、AT初当り確率は設定1=1/397.3〜設定6=1/356.1、「妖目」演出約1/6.9で出現、「白面臨海チャレンジ」(上位チャレンジ)・「最終決戦BONUS」(上位ボーナス)、「うしとらモード」、設定変更でCZ天井が600G→300Gに短縮,https://1geki.jp/slot/l_ushiototora/,selected,0.85,うしおととら 白面決戦,1,title_contains,うしおととら 白面決戦,アイドル,スマスロ,AT,0,1/397.3,,,,,1/356.1,,,,,,,,,,,,,,,,,,,,,,,,,,
うまい棒,アムテックス,2021-12-20,ノーマル,97.0,98.5,100.8,103.7,106.1,108.5,1/270.8,1/264.3,1/256.0,1/244.5,1/237.4,1/224.4,1/356.2,1/334.4,1/304.8,1/276.5,1/254.0,1/224.4,天井:非搭載,https://1geki.jp/slot/s_umaibou/,selected,0.9,うまい棒,2,title_contains,うまい棒,アムテックス,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
