machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes
あの日見た花の名前を僕達はまだ知らない。,サミー,2019-08-05,AT,97.9,98.9,100.8,104.4,108.1,110.1,,,,,,,,,,,,,AT初当り:1/356〜1/242 天井:1000G
ありふれた職業で世界最強,SANKYO,2024-07-22,スマスロ,97.5,98.7,100.6,105.5,110.0,114.9,,,,,,,,,,,,,AT初当り:1/297〜1/224 天井:999G
いざ!番長,sabohani（サボハニ）,2025-06-02,スマスロ,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」
いざ!番長(スマスロ),sabohani（サボハニ）,2025-06-02,スマスロ,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」
いざ！番長,sabohani（サボハニ）,2025-06-02,スマスロ,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」
うしおととら 白面決戦,Idol（アイドル）,2025-04-07,AT,97.9,99.2,100.5,104.6,109.4,114.9,110.1,,,,,,,,,,,,ATタイプ/スマスロ/天井(CZ間天井600G+α、AT間天井最大2500G)、AT純増約5.0枚/G、ベース(50枚あたり)約33G、機械割は設定1=97.9%/設定2=99.2%/設定3=100.5%/設定4=104.6%/設定5=109.4%/設定6=114.9%、CZ初当り確率は設定1=1/178.0〜設定6=1/159.0、AT初当り確率は設定1=1/397.3〜設定6=1/356.1、「妖目」演出約1/6.9で出現、「白面臨海チャレンジ」(上位チャレンジ)・「最終決戦BONUS」(上位ボーナス)、「うしとらモード」、設定変更でCZ天井が600G→300Gに短縮
うまい棒,アムテックス,2021-12-20,ノーマル,97.0,98.5,100.8,103.7,106.1,108.5,1/270.8,1/264.3,1/256.0,1/244.5,1/237.4,1/224.4,1/356.2,1/334.4,1/304.8,1/276.5,1/254.0,1/224.4,天井:非搭載
うみねこのなく頃に2,オーイズミ,2026-02-02,スマスロ,98.4,99.6,101.2,103.4,104.7,105.5,1/362.1,1/350.5,1/337.8,1/327.7,1/319.7,1/313.6,1/397.2,1/390.1,1/381.0,1/374.5,1/366.1,1/360.1,市場想定機械割(完全攻略時は+5%程度上振れ:設定6=110.0%)、ボーナス合算1/189.4(設定1)〜1/167.6(設定6)
うる星やつら,ニューギン,,AT,,,,,,,,,,,,,,,,,,,過去機種につき6号機データなし
えとたま,メーシー,2022-04-04,A+AT,97.6,98.5,100.3,104.1,106.3,109.2,1/282.4,1/277.6,1/273.0,1/268.5,1/264.2,1/256.0,,,,,,,ボーナス確率のみ / 天井:500G
かぐや様は告らせたい,SANKYO,2023-09-04,スマスロ,97.7,98.8,100.5,105.5,110.0,114.9,,,,,,,,,,,,,BIG確率:1/349.5〜1/250.7 天井:1100G
からくりサーカス,SANKYO,2023-07-03,スマスロ,97.5,98.7,100.5,105.5,110.0,114.9,,,,,,,,,,,,,AT初当り:1/564〜1/447 天井:1200G
けものフレンズ,サミー,2022-05-23,AT,97.7,98.6,100.5,104.2,106.2,107.8,,,,,,,,,,,,,AT初当り:1/293.5〜1/235.4 天井:999G
この素晴らしい世界に祝福を！,サミー,2022-04-04,AT,97.9,98.9,100.6,104.4,106.7,109.8,,,,,,,,,,,,,AT初当り:1/261.5〜1/216.9 天井:598G+α
とある科学の超電磁砲,藤商事,2022-11-07,AT,97.5,98.8,100.6,105.4,108.2,111.4,,,,,,,,,,,,,AT確率:1/552〜1/390 天井:1290G
とある科学の超電磁砲2,藤商事,2025-11-04,スマスロ,,,,,,112.9,,,,,,,,,,,,,設定6機械割約112.9%、設定6実戦AT初当り約1/180、AT間天井999G+α(設定変更後699G+α)、CZ・AT共に高設定ほど確率優遇
とある魔術の禁書目録,藤商事,2023-11-06,スマスロ,97.5,98.6,100.5,105.5,109.0,114.2,,,,,,,,,,,,,AT確率:1/370.8〜1/266.3 天井:999G
なめ猫～液晶ないけどなめんじゃねぇ～,ボーダー,2025-08-04,AT,,,,,,108.1,,,,,,,,,,,,,機械割設定4=102.6%・設定6=108.1%、初当り確率は全設定共通1/155(設定差なし、BIG当選率に設定差の可能性)、BIG最低3連保障で約600枚獲得「CAT600」搭載、ボーナス間600G+α(天井100G/300G振り分けあり)、2025年8月導入の6.6号機メダル機(液晶なし)
にゃんこ大戦争 BIGBANG,京楽,2023-06-05,スマスロ,97.6,98.8,100.5,105.4,108.5,112.5,,,,,,,,,,,,,AT初当り:1/587〜1/418 天井:1500G
にゃんこ大戦争 超神速,KYORAKU（京楽）,2025-01-20,スマスロ,97.5,98.3,,104.3,109.4,114.9,,,,,,,,,,,,,AT初当り確率は設定1=1/395/設定2=1/383/設定4=1/336/設定5=1/313/設定6=1/303(設定3未掲載)、機械割は設定1=97.5%/設定2=98.3%/設定4=104.3%/設定5=109.4%/設定6=114.9%、AT純増約9枚/G、天井1122G+α、ベース32.5G、「神様炎の株」(継続10〜100G)
ひぐらしのなく頃に 業,ディ・ライト,2023-11-06,A+ART,97.2,98.2,99.5,101.4,103.5,105.4,1/297,1/295,1/292,1/289,1/287,1/284,,,,,,,完全攻略で103%〜 天井:非搭載 (RBなし)
ひぐらしのなく頃に祭2,オーイズミ,2020-12-21,A+ART,97.3,98.5,99.6,101.5,104.2,106.5,1/297.9,1/295.2,1/292.6,1/289.9,1/287.4,1/284.9,1/409.6,1/402.1,1/394.8,1/387.8,1/376.6,1/364.1,完全攻略で設定1でも103%超 天井:非搭載
ようこそ実力至上主義の教室へ,サミー,2025-05-07,スマスロ,104.8,,,,,114.0,,,,,,,,,,,,,機械割設定4=104.8%・設定6=114.0%、CZ「ガールズチャレンジ」(AT期待度約34%)・「実力至上主義ゾーン」(AT期待度約65%)合算確率に設定差、AT間天井980G+α(設定変更時630G+α)で約50%がボーナス以上当選
わたしの幸せな結婚,コナミアミューズメント,2025-06,スマスロ,,,,,,112.0,,,,,,,,,,,,,設定6機械割112.0%、ボーナス初当り1/249.4〜1/290.8(設定差小)、AT初当り1/479.4〜1/594.3(設定差大・設定判別の主指標)、設定6は初当り軽くAT後天国ループで安定
アイドルマスター ミリオンライブ！,ビスティ,2021-03-08,AT,97.5,98.5,100.2,103.5,105.2,108.1,,,,,,,,,,,,,AT初当り:1/285〜1/192 天井:999G
アイドルマスター ミリオンライブ！ ネクストプロローグ,ビスティ,2025-04-21,スマスロ,,,,,,114.3,,,,,,,,,,,,,設定6機械割114.3%、設定5は110.1%、AT初当り確率に分母100以上の大きな設定差、CZ出現率・ボーナス終了画面(白枠→金枠→虹枠の順で高設定期待度上昇)が設定判別要素
アイムジャグラーEX-TP,北電子,2020-12-14,ノーマル,97.0,98.0,99.5,101.1,103.3,105.5,1/273.1,1/269.7,1/269.7,1/259.0,1/259.0,1/255.0,1/439.8,1/399.6,1/331.0,1/315.1,1/255.0,1/255.0,天井:非搭載
アオハル♪操 A‐LIVE,大都技研,2024-06-03,AT,97.6,98.7,100.5,105.5,108.6,111.4,,,,,,,,,,,,,疑似ボーナスAT 初当り:1/333〜1/257
アカメが斬る！2,山佐,2024-07-08,スマスロ,97.6,,,,,114.9,,,,,,,,,,,,,AT初当り確率1/390.0(設定1)〜1/296.8(設定6)、機械割97.6%〜114.9%(設定4=105.4%)、ボーナス高確中は約1/3.8でボーナス当選・約67%でループ、CZ初当り確率1/296.3(設定1)〜1/231.9(設定6)、AT終了画面ナミちゃんパネル(虹=設定6濃厚、呪毒柄=設定5以上濃厚、金=設定4以上濃厚)
アクエリオン ALL STARS,SANKYO,2022-07-04,AT,97.5,98.5,100.5,105.0,107.0,108.8,,,,,,,,,,,,,AT確率:1/363〜1/271 天井:1000G
アクダマドライブ,山佐,2026-04-06,スマスロ,,,,,,112.0,,,,,,,,,,,,,設定3以上でプラス収支、設定6機械割112.0%、AT初当り確率は高設定ほど優遇(設定5以上判別の目安は概ね1/500未満)、CZ「多脚戦車バトル」成功期待度約46%(ジャッジパート中アクダマ目高確率約1/5.9)
アズールレーン THE ANIMATION,京楽,2025-08-04,スマスロ,97.9,,,,,114.9,,,,,,,,,,,,,AT初当り設定1=1/598.9〜設定6=1/467.5、初当りBONUS確率設定1=1/167.4〜設定6=1/156.0、設定6は初当り軽さ・小役確率の高さが特徴
アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,ミズホ,2023-04-17,AT,97.6,98.9,101.0,104.2,106.0,108.1,,,,,,,,,,,,,AT確率:1/510〜1/224 天井:1400G
アラジンAクラシック,サミー,2022-01-24,AT,97.5,98.7,100.5,104.4,106.1,108.3,,,,,,,,,,,,,AC確率:1/275〜1/176 天井:1200G
アレックス ブライト,アクロス,2025-07-07,ノーマル,98.8,100.6,,,103.5,106.8,,,,,,,,,,,,,"ボーナストリガー搭載ノーマルタイプ(設定1,2,5,6の4段階)、BIG約350枚・REG約103枚、設定1機械割98.8%(完全攻略時は設定1でも100%超)、羽・3枚役・チェリーA②/Bの出現率に設定差"
ウルトラミラクルジャグラー,北電子,2024-12-02,ノーマル,97.0,98.0,99.5,101.5,103.6,106.1,1/266.4,1/262.1,1/256.0,1/252.1,1/244.5,1/237.4,1/364.1,1/352.3,1/327.7,1/292.6,1/268.6,1/252.1,天井:非搭載
ガメラ2,サミー,2024-03-04,AT,97.4,98.5,100.6,104.5,106.2,108.5,,,,,,,,,,,,,完全攻略で102%超 天井:999G
ガールズ&パンツァー 最終章,平和,2024-02-05,スマスロ,97.6,98.6,100.6,105.6,109.1,113.1,,,,,,,,,,,,,AT初当り:1/403.4〜1/303.0 天井:1111G+α
キングハナハナ-30,パイオニア,2023-03-20,ノーマル,96.0,98.0,101.0,104.0,107.0,110.0,1/292,1/277,1/263,1/249,1/237,1/227,1/481,1/442,1/409,1/378,1/352,1/330,天井:非搭載
キン肉マン～7人の悪魔超人編～,セブンリーグ,2023-08-07,スマスロ,97.9,98.7,100.8,106.0,110.4,114.9,,,,,,,,,,,,,AT初当り:1/404〜1/336 天井:1000万パワー
ギャグダー,京楽,2022-01-24,AT,97.3,98.5,100.2,104.3,106.0,108.1,,,,,,,,,,,,,ボーナス合算:1/250〜1/195 天井:999G
ギルティクラウン2,メーシー,2023-09-19,スマスロ,97.9,98.9,100.6,105.4,108.1,110.6,,,,,,,,,,,,,AT初当り:1/386〜1/280 天井:899G+α
クランキークレスト,アクロス,2023-12-04,ノーマル,97.6,99.4,,,104.3,106.1,1/256.0,1/244.5,,,1/226.0,1/214.9,1/344.9,1/324.4,,,1/273.1,1/248.2,"設定1,2,5,6の4段階 天井:非搭載"
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,大都技研,2025-09-08,スマスロ,,,,,,114.0,,,,,,,,,,,,,設定6:完全攻略時機械割114.0%、BIG確率1/240.1・REG確率1/247.3・ボーナス合算1/121.8、BIG当選で必ずBT発動・約356枚獲得
グランベルム,北電子,2023-09-04,AT,97.6,98.6,100.7,105.5,108.1,110.9,,,,,,,,,,,,,AT初当り:1/485〜1/320 天井:649G+α
ケロット4,セブンリーグ,2020-03-02,ノーマル,97.6,99.4,101.2,104.1,106.1,108.5,1/273.1,1/268.6,1/264.3,1/256.0,1/248.2,1/240.9,1/356.2,1/341.3,1/327.7,1/306.2,1/292.6,1/273.1,天井:非搭載
ゲゲゲの鬼太郎 覚醒,JFJ,2024-08-05,スマスロ,97.9,98.9,100.3,105.6,110.8,114.9,,,,,,,,,,,,,AT初当り:1/421.1〜1/349.8 天井:1200G+α
コードギアス 反逆のルルーシュ/復活のルルーシュ,サミー,2024-02-05,スマスロ,97.7,98.7,100.8,106.1,109.8,113.3,,,,,,,,,,,,,AT初当り:1/409〜1/296 天井:1000G
コードギアス反逆のルルーシュ3,サミー,2021-08-02,A+AT,97.8,98.8,100.6,105.1,108.4,112.1,1/258.0,1/256.0,1/252.1,1/242.7,1/237.4,1/234.1,,,,,,,BB/RB合算確率 天井:500G
コードギアス反逆のルルーシュ3 C.C.&Kallen ver.,サミー,2023-06-05,A+AT,98.2,99.1,101.1,105.5,108.3,113.1,1/282.5,1/277.7,1/270.8,1/254.0,1/244.5,1/237.4,1/409.6,1/390.1,1/364.1,1/324.4,1/303.4,1/282.5,完全攻略時設定1で100%超
ゴジラ,newgin（ニューギン）,2025-08-18,スマスロ,,,,,,114.9,,,,,,,,,,,,,機械割設定4=105.8%・設定6=114.9%、AT初当り確率の設定差がCZ確率より大きい、BAR揃い確率約1/28.5(高確中約1/29.4)でG数上乗せ抽選、敵キャラ選択率が高設定ほど勝利期待度の高い相手に偏る
ゴジラ対エヴァンゲリオン,ビスティ,2024-02-05,スマスロ,97.7,98.9,101.2,105.9,110.1,114.9,,,,,,,,,,,,,AT初当り:1/299〜1/256 天井:1000G
ゴッドイーター リザレクション,セブンリーグ,2024-07-22,スマスロ,97.9,98.9,101.3,106.3,110.1,114.9,,,,,,,,,,,,,AT確率:1/351〜1/280 天井:1000G
ゴブリンスレイヤー,藤商事,2023-04-17,スマスロ,97.8,98.9,101.3,105.4,110.0,114.9,,,,,,,,,,,,,AT初当り:1/548〜1/435 天井:1500G
ゴブリンスレイヤーII,藤商事,2025-11,スマスロ,,,,,,113.2,,,,,,,,,,,,,設定6機械割113.2%、AT初当り1/541.6(設定1)〜1/402.4(設定6)、CZ確率1/239.3(設定1)〜1/181.9(設定6)、天井最大1500G(600G/1000G振り分けあり)、AT「ゴブリンスレイヤーRUSH」1セット100G・純増2.8枚、上位AT「ULTIMATE LOOP」純増6.0枚
ゴーゴージャグラー3,北電子,2023-07-03,ノーマル,97.2,98.2,99.4,101.6,103.8,106.5,1/259.0,1/258.0,1/257.0,1/254.0,1/247.3,1/234.9,1/354.2,1/332.7,1/306.2,1/268.6,1/247.3,1/234.9,天井:非搭載
ゴールデンカムイ,サミー,2024-04-08,スマスロ,97.8,98.6,100.6,104.9,108.5,113.3,,,,,,,,,,,,,AT初当り:1/424〜1/322 天井:1800ピュウ
サラリーマン金太郎,EXCITE,,AT,,,,,,,,,,,,,,,,,,,"4号機版(2008年)、設定別BIG/REG確率・機械割の詳細データは検索で確認できず。後継機サラリーマン金太郎～MAX～(行88)・スマスロ版(2025年1月導入,EXCITE,純増約4.0枚AT機)を参照"
サラリーマン金太郎～MAX～,EXCITE,2019-11-05,AT,97.6,98.9,100.9,104.7,107.5,112.1,,,,,,,,,,,,,AT初当り:1/430〜1/308 天井:750G
シャア専用パチスロ 逆襲の赤い彗星,ビスティ,2020-08-03,AT,97.6,98.9,100.2,104.3,106.2,109.1,,,,,,,,,,,,,AT初当り:1/799〜1/450 天井:250G+α
シャーマンキング,エレコ,2025-02-03,スマスロ,,,,,,114.3,,,,,,,,,,,,,設定6機械割114.3%(現役最高峰水準)、設定6AT「シャーマンファイト」初当り1/400切る、コイン単価4.2円、1G純増2.5or5.4枚のAT機
シン・エヴァンゲリオン,ビスティ,2025-01-20,スマスロ,97.7,98.9,101.1,105.5,108.7,113.1,,,,,,,,,,,,,AT確率:1/356〜1/259 天井:1000G
ジャグラーガールズ,北電子,2024-04-08,ノーマル,97.0,97.9,99.9,102.1,104.0,107.5,1/273.1,1/270.8,1/260.1,1/250.1,1/243.6,1/226.0,1/381.0,1/350.5,1/316.6,1/281.3,1/270.8,1/252.1,6号機「ジャグラーガールズSS」データ 天井:非搭載
ストライクウィッチーズ2,山佐,2024-02-05,スマスロ,97.6,,,,,114.9,,,,,,,,,,,,,ストライクボーナス確率1/432(設定1)〜1/349(設定6)、機械割97.6%(設定1)〜114.9%(設定6)、ボーナス直撃当選率(CZ非経由)に大きな設定差(1/8738.1→1/1747.6)、撃墜チャレンジ(CZ)突入率は設定間差わずか(1/245.6〜1/240.6)、2024年2月導入
ストライク・ザ・ブラッド,エンターライズ,2024-04-08,A+AT,97.5,98.6,100.4,104.5,107.2,110.1,1/199.8,1/198.6,1/197.4,1/196.2,1/195.0,1/193.9,,,,,,,BB/RB合算確率 天井:599G
スマスロ ギルティクラウン2,メーシー,2023-09-19,スマスロ,97.9,98.9,100.6,105.4,108.1,110.6,,,,,,,,,,,,,ギルティクラウン2と同一
スマスロ サンダーV,ELECO（エレコ）,2026-03-02,スマスロ,98.5,100.0,,,102.9,106.0,,,,,,,,,,,,,スマスロ/ノーマル(A)タイプ/ボーナストリガー、機械割(完全攻略)は設定1=98.5%(100.5%)/設定2=100.0%(102.0%)/設定5=102.9%(105.0%)/設定6=106.0%(108.1%)(設定3・4未掲載)、BB:RB確率(合算)は設定1=1/277.7:1/434.0(合算1/169.3)、設定2=1/275.4:1/394.8(合算1/162.2)、設定5=1/270.8:1/344.9(合算1/151.7)、設定6=1/264.3:1/313.6(合算1/143.4)、リプレイ(1/7.3)とチェリーA(1/99.8)以外の小役に設定差、ライジンゾーン(BB消化後の演出変化ゾーン)
スマスロ ドルアーガの塔,MIZUHO（ミズホ）,2025-09-08,スマスロ,99.0,100.3,,,102.3,104.9,,,,,,,,,,,,,A+ATタイプ/スマスロ、4段階設定、機械割は設定1=99.0%(完全攻略101.7%)/設定2=100.3%(103.1%)/設定5=102.3%(105.2%)/設定6=104.9%(107.9%)、BB:RB確率(合算)は設定1=1/299.3:1/448.9(合算1/179.6)、設定2=1/291.3:1/436.9(合算1/174.8)、設定5=1/280.1:1/420.1(合算1/168.0)、設定6=1/266.4:1/399.6(合算1/159.8)、BB獲得枚数平均252枚
